parcel_uid;parcel_id;client_id;lat;lon;clay_%;sand_%;silt_%;soc_g_kg;materia_organica_%;cfvo_%;tipo_suelo;drenaje;profundidad_suelo_cm;soil_source;soil_updated_at;soil_status;soil_error
18-116-00503-00065-004;cliente_1_P001;cliente_1;37.27166028869848;-3.0016137100048184;21.85;39.95;38.2;21.7;3.74;13.7;Franco;Bueno;110;soilgrids-v2;2026-06-05T11:48:05;ok;
18-116-00508-00081-001;cliente_1_P002;cliente_1;37.20026539921801;-3.066121684831698;24.35;42.4;33.25;18.3;3.15;18.3;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:05;ok;
18-116-00508-00042-003;cliente_1_P003;cliente_1;37.20102174957906;-3.0639965709052968;24.75;42.6;32.65;18.3;3.15;19.1;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:05;ok;
18-116-00509-00050-001;cliente_1_P004;cliente_1;37.19592410274935;-3.0538446806581385;24.75;41.7;33.55;16.6;2.86;21.1;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:10;ok;
18-116-00509-00045-001;cliente_1_P005;cliente_1;37.19659400884108;-3.0559475245387806;25.15;41.8;33.05;17.6;3.03;20.0;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:10;ok;
18-116-00509-00031-005;cliente_1_P006;cliente_1;37.19821774267727;-3.05869311061574;24.9;42.1;32.9;18.2;3.14;18.2;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:10;ok;
18-116-00509-00031-001;cliente_1_P007;cliente_1;37.1991660421566;-3.05822698934648;25.15;42.0;32.9;17.4;3.0;18.1;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:15;ok;
18-116-00509-00028-001;cliente_1_P008;cliente_1;37.20000934557992;-3.05974342727063;24.75;43.05;32.2;18.4;3.17;19.2;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:16;ok;
18-116-00509-00027-001;cliente_1_P009;cliente_1;37.199857666523165;-3.0621204010039045;24.75;42.6;32.65;18.3;3.15;19.1;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:16;ok;
18-116-00510-00071-001;cliente_1_P010;cliente_1;37.18120648062578;-3.0755629639791464;20.15;41.2;38.65;23.3;4.02;17.0;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:22;ok;
18-116-00510-00047-002;cliente_1_P011;cliente_1;37.18916554244068;-3.08004417270322;22.6;44.0;33.35;19.8;3.41;20.0;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:22;ok;
18-116-00510-00286-002;cliente_1_P012;cliente_1;37.18354848464042;-3.0746222268430423;21.6;43.55;34.85;20.5;3.53;17.1;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:28;ok;
18-116-00510-00285-002;cliente_1_P013;cliente_1;37.183943497991805;-3.073984827096184;21.25;43.0;35.7;20.5;3.53;17.8;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:28;ok;
18-116-00510-00283-002;cliente_1_P014;cliente_1;37.18466570491445;-3.073371980004952;21.25;43.0;35.7;20.5;3.53;17.8;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:33;ok;
18-116-00510-00267-001;cliente_1_P015;cliente_1;37.18055815040543;-3.0772310613985328;20.25;42.5;37.25;25.3;4.36;17.3;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:35;ok;
18-116-00510-00266-010;cliente_1_P016;cliente_1;37.18104222047193;-3.076618419944715;20.25;42.5;37.25;25.3;4.36;17.3;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:39;ok;
18-116-00510-00266-002;cliente_1_P017;cliente_1;37.18089253878117;-3.077038979427039;20.25;42.5;37.25;25.3;4.36;17.3;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:41;ok;
18-116-00510-00235-002;cliente_1_P018;cliente_1;37.18980505223063;-3.067693396475269;21.25;44.2;34.55;20.5;3.53;16.6;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:45;ok;
18-116-00510-00199-005;cliente_1_P019;cliente_1;37.1789133538361;-3.070108089639383;20.35;41.9;37.75;26.7;4.6;17.6;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:47;ok;
18-116-00510-00191-001;cliente_1_P020;cliente_1;37.17902240258923;-3.074179220330298;20.25;42.05;37.7;23.9;4.12;17.4;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:51;ok;
18-116-00510-00186-003;cliente_1_P021;cliente_1;37.180022779266864;-3.0723366576342706;20.85;41.15;38.0;23.5;4.05;16.9;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:55;ok;
18-116-00510-00166-002;cliente_1_P022;cliente_1;37.18267458053516;-3.0691408658096453;20.85;43.65;35.5;24.4;4.21;15.6;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:48:57;ok;
18-116-00510-00139-004;cliente_1_P023;cliente_1;37.18870267044553;-3.064732833018259;21.0;44.3;34.7;21.0;3.62;18.0;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:00;ok;
18-116-00510-00130-003;cliente_1_P024;cliente_1;37.19199477070285;-3.0716417129134728;24.45;42.65;32.85;19.2;3.31;18.2;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:02;ok;
18-116-00510-00130-002;cliente_1_P025;cliente_1;37.19248668031472;-3.071956459116663;24.45;42.65;32.85;19.2;3.31;18.2;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:06;ok;
18-116-00511-00012-001;cliente_1_P026;cliente_1;37.20401309315447;-3.079324762017789;23.15;42.75;34.15;17.4;3.0;22.3;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:11;ok;
18-116-00511-00005-004;cliente_1_P027;cliente_1;37.208381892243736;-3.090285044777565;21.55;44.05;34.4;19.2;3.31;19.7;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:12;ok;
18-116-00511-00003-002;cliente_1_P028;cliente_1;37.20903739456792;-3.0918519812492784;21.15;44.15;34.65;20.4;3.52;20.8;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:21;ok;
18-116-00510-00252-003;cliente_1_P029;cliente_1;37.18894732766575;-3.0689131210528924;22.25;42.85;34.95;20.9;3.6;17.3;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:29;ok;
18-116-00503-00064-003;cliente_1_P030;cliente_1;37.270992821532616;-3.0018217931581743;22.25;40.6;37.1;18.2;3.14;13.6;Franco;Bueno;110;soilgrids-v2;2026-06-05T11:49:30;ok;
18-116-00504-00025-008;cliente_1_P031;cliente_1;37.259114829071;-3.024983990974497;25.8;39.15;35.0;19.5;3.36;15.9;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:31;ok;
18-116-00511-00003-005;cliente_1_P032;cliente_1;37.20794319290216;-3.0913073753479745;21.1;43.0;35.9;20.3;3.5;21.5;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:35;ok;
18-116-00510-00112-005;cliente_1_P033;cliente_1;37.1862650438848;-3.0727020934109444;21.35;42.7;35.95;23.1;3.98;17.5;Franco;Bueno;85;soilgrids-v2;2026-06-05T11:49:38;ok;
