parcel_uid;parcel_id;client_id;uso_sigpac;tipo_olivar;riego;variedad;estado_fenologico;updated_at;completion_status
18-116-00503-00065-004;cliente_1_P001;cliente_1;OV;Tradicional;Riego;Hojiblanca;Floracion;2026-06-06T02:22:49;completo
18-116-00508-00081-001;cliente_1_P002;cliente_1;OV;Intensivo;Secano;Manzanilla;Brotacion;2026-06-06T02:22:49;completo
18-116-00508-00042-003;cliente_1_P003;cliente_1;OV;Intensivo;Secano;Arbequina;Engorde;2026-06-06T02:22:49;completo
18-116-00509-00050-001;cliente_1_P004;cliente_1;OV;Superintensivo;Riego;Arbequina;Brotacion;2026-06-06T02:22:49;completo
18-116-00509-00045-001;cliente_1_P005;cliente_1;OV;Intensivo;Secano;Picual;Cuajado;2026-06-06T02:22:49;completo
18-116-00509-00031-005;cliente_1_P006;cliente_1;OV;Tradicional;Riego;Otra;Brotacion;2026-06-06T02:22:49;completo
18-116-00509-00031-001;cliente_1_P007;cliente_1;OV;Tradicional;Secano;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00509-00028-001;cliente_1_P008;cliente_1;OV;Tradicional;Secano;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00509-00027-001;cliente_1_P009;cliente_1;OV;Tradicional;Secano;Picual;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00071-001;cliente_1_P010;cliente_1;OV;Tradicional;Secano;Picual;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00047-002;cliente_1_P011;cliente_1;OV;Tradicional;Riego;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00510-00286-002;cliente_1_P012;cliente_1;OV;Tradicional;Riego;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00510-00285-002;cliente_1_P013;cliente_1;OV;Tradicional;Riego;Hojiblanca;Brotacion;2026-06-06T02:22:49;completo
18-116-00510-00283-002;cliente_1_P014;cliente_1;OV;Tradicional;Riego;Hojiblanca;Engorde;2026-06-06T02:22:49;completo
18-116-00510-00267-001;cliente_1_P015;cliente_1;OV;Tradicional;Riego;Hojiblanca;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00266-010;cliente_1_P016;cliente_1;OV;Tradicional;Riego;Hojiblanca;Floracion;2026-06-06T02:22:49;completo
18-116-00510-00266-002;cliente_1_P017;cliente_1;OV;Tradicional;Riego;Hojiblanca;Engorde;2026-06-06T02:22:49;completo
18-116-00510-00235-002;cliente_1_P018;cliente_1;OV;Tradicional;Riego;Hojiblanca;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00199-005;cliente_1_P019;cliente_1;OV;Tradicional;Riego;Hojiblanca;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00191-001;cliente_1_P020;cliente_1;OV;Tradicional;Secano;Hojiblanca;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00186-003;cliente_1_P021;cliente_1;OV;Tradicional;Secano;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00510-00166-002;cliente_1_P022;cliente_1;OV;Tradicional;Secano;Picual;Cuajado;2026-06-06T02:22:49;completo
18-116-00510-00139-004;cliente_1_P023;cliente_1;OV;Tradicional;Secano;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00510-00130-003;cliente_1_P024;cliente_1;OV;Tradicional;Secano;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00510-00130-002;cliente_1_P025;cliente_1;OV;Intensivo;Secano;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00511-00012-001;cliente_1_P026;cliente_1;OV;Tradicional;Riego;Picual;Floracion;2026-06-06T02:22:49;completo
18-116-00511-00005-004;cliente_1_P027;cliente_1;OV;Tradicional;Riego;Picual;Cuajado;2026-06-06T02:22:49;completo
18-116-00511-00003-002;cliente_1_P028;cliente_1;OV;Tradicional;Riego;Picual;Engorde;2026-06-06T02:22:49;completo
18-116-00510-00252-003;cliente_1_P029;cliente_1;OV;Tradicional;Riego;Arbequina;Floracion;2026-06-06T02:22:49;completo
18-116-00503-00064-003;cliente_1_P030;cliente_1;OV;Tradicional;Riego;Hojiblanca;Envero;2026-06-06T02:22:49;completo
18-116-00504-00025-008;cliente_1_P031;cliente_1;OV;Tradicional;Riego;Hojiblanca;Maduracion;2026-06-06T02:22:49;completo
18-116-00511-00003-005;cliente_1_P032;cliente_1;OV;Tradicional;Riego;Hojiblanca;Engorde;2026-06-06T02:22:49;completo
18-116-00510-00112-005;cliente_1_P033;cliente_1;OV;Tradicional;Riego;Hojiblanca;Cuajado;2026-06-06T02:22:49;completo
