parcel_id,zona_provincia,tipo_olivar,riego,superficie_ha,variedad,estado_fenologico,tipo_suelo,drenaje,pendiente_%,distancia_rio_m,altitud_m,rain_72h_mm,rain_7d_mm,temp_media_7d,humedad_suelo_%,profundidad_suelo_cm,materia_organica_%,rendimiento_esperado_kg_ha,precio_mercado_eur_kg,coste_variable_ha,duracion_encharcamiento_dias,pct_perdida
OLV_42_0000,Córdoba,Tradicional,Secano,41.54,Picual,Reposo,Arcilloso,Moderado,1.5,683.5,437.0,99.2,186.5,17.4,82.0,64,2.84,5605,0.89,961,2.75,0.0
OLV_42_0001,Jaén,Intensivo,Riego,32.67,Picual,Reposo,Franco,Malo,3.7,894.4,208.0,157.4,229.3,13.1,71.0,90,1.08,10571,0.83,1580,4.57,0.0262
OLV_42_0002,Jaén,Tradicional,Riego,3.34,Hojiblanca,Engorde,Limoso,Moderado,5.9,1149.1,543.0,81.4,197.6,13.1,39.1,98,2.94,10030,0.81,1374,1.98,0.0
OLV_42_0003,Sevilla,Intensivo,Riego,6.3,Manzanilla,Floracion,Limoso,Malo,8.5,1268.9,172.0,,142.5,13.5,67.0,55,1.38,10811,0.81,1790,2.01,0.0
OLV_42_0004,Córdoba,Intensivo,Secano,34.86,Picual,Floracion,Arenoso,Moderado,0.6,2120.8,407.0,106.2,341.9,15.8,24.0,30,0.98,6738,0.77,1152,1.4,0.022
OLV_42_0005,Jaén,Tradicional,Riego,29.48,Picual,Floracion,Limoso,Moderado,4.3,386.4,499.0,303.8,380.0,13.9,62.9,113,2.6,10502,0.79,1484,4.27,0.2175
OLV_42_0006,Córdoba,Intensivo,Secano,43.99,Manzanilla,Floracion,Franco,Moderado,1.3,857.0,306.0,89.8,255.3,15.2,67.6,100,2.52,6547,0.79,1301,3.18,0.0601
OLV_42_0007,Jaén,Intensivo,Secano,8.22,Hojiblanca,Brotacion,Arcilloso,Malo,11.1,1353.9,434.0,11.0,18.1,12.1,33.2,38,1.35,6593,0.76,1414,0.48,0.0
OLV_42_0008,Sevilla,Superintensivo,Secano,18.43,Hojiblanca,Cuajado,Franco-arcilloso,Malo,3.5,1822.2,175.0,127.5,380.0,18.2,82.0,103,1.47,8562,0.77,1837,2.74,0.3151
OLV_42_0009,Jaén,Tradicional,Secano,42.21,Picual,Cuajado,Arenoso,Bueno,6.4,1780.7,470.0,50.0,69.5,16.2,23.2,149,1.88,5461,0.78,1057,0.25,0.0
OLV_42_0010,Córdoba,Tradicional,Riego,46.55,Picual,Cuajado,Franco-arcilloso,Malo,5.4,1039.0,155.0,188.9,380.0,17.2,66.5,38,1.38,8520,0.81,1393,4.95,0.3709
OLV_42_0011,Jaén,Tradicional,Secano,44.27,Picual,Cuajado,Arenoso,Malo,2.7,39.2,541.0,65.0,184.5,18.9,32.9,126,1.69,5090,0.83,1146,0.78,0.0
OLV_42_0012,Málaga,Tradicional,Secano,20.94,Arbequina,Reposo,Limoso,Malo,5.2,2071.7,416.0,155.5,223.4,16.6,80.1,45,1.97,4226,0.89,1218,3.65,0.0326
OLV_42_0013,Córdoba,Intensivo,Secano,18.3,Picual,Engorde,Arcilloso,Malo,8.9,209.8,416.0,88.9,160.7,22.3,82.0,49,2.48,6420,0.86,1716,2.66,0.0
OLV_42_0014,Málaga,Tradicional,Secano,49.83,Picual,Cuajado,Franco,Moderado,15.7,2061.1,174.0,111.6,378.1,16.1,35.8,109,1.61,4923,0.87,1111,1.09,0.0
OLV_42_0015,Jaén,Intensivo,Secano,46.98,Picual,Floracion,Arcilloso,Moderado,5.8,942.1,527.0,73.4,168.4,16.2,69.4,111,1.41,6553,0.82,1406,1.98,0.0
OLV_42_0016,Córdoba,Tradicional,Secano,37.63,Hojiblanca,Floracion,Arcilloso,Malo,5.9,2150.7,304.0,169.0,380.0,15.0,78.6,56,0.91,4670,0.82,1022,3.65,0.4671
OLV_42_0017,Jaén,Tradicional,Secano,32.56,Hojiblanca,Reposo,Limoso,Malo,10.0,1228.4,547.0,24.2,96.3,14.4,36.2,71,2.53,5615,0.78,1359,0.67,0.0
OLV_42_0018,Córdoba,Tradicional,Riego,25.52,Hojiblanca,Floracion,Arcilloso,Moderado,3.2,573.1,230.0,177.0,380.0,16.5,75.1,56,0.81,7722,0.82,1060,4.43,0.3185
OLV_42_0019,Jaén,Tradicional,Secano,8.97,Picual,Cuajado,Limoso,Moderado,6.1,2012.3,633.0,143.7,380.0,17.0,68.0,95,1.99,5121,0.86,1054,4.16,0.1894
OLV_42_0020,Sevilla,Tradicional,Riego,20.08,Manzanilla,Floracion,Franco-arcilloso,Moderado,4.1,241.0,148.0,116.9,380.0,14.0,81.9,32,2.93,7148,0.83,1289,2.72,0.1867
OLV_42_0021,Jaén,Tradicional,Secano,24.33,Picual,Floracion,Franco,Moderado,4.4,1708.1,464.0,198.3,380.0,12.8,59.5,107,2.86,4999,0.76,1225,2.45,0.1248
OLV_42_0022,Córdoba,Intensivo,Riego,7.45,Picual,Cuajado,Franco,Malo,15.4,1127.9,276.0,47.1,129.3,19.3,50.2,48,1.08,9435,0.8,1858,1.72,0.0
OLV_42_0023,Sevilla,Tradicional,Secano,49.07,Manzanilla,Floracion,Franco-arcilloso,Moderado,8.7,36.2,225.0,26.0,69.7,17.2,37.4,93,2.86,4458,0.72,1195,0.74,0.0
OLV_42_0024,Córdoba,Tradicional,Secano,31.17,Picual,Engorde,Arcilloso,Malo,6.1,350.6,90.0,155.4,380.0,19.6,62.3,138,1.3,5391,0.82,1241,5.34,0.1187
OLV_42_0025,Granada,Intensivo,Riego,38.14,Picual,Brotacion,Arcilloso,Moderado,2.1,107.5,696.0,114.4,367.3,12.9,69.4,112,2.07,11313,0.86,1534,2.91,0.102
OLV_42_0026,Córdoba,Tradicional,Secano,27.52,Arbequina,Engorde,Franco-arcilloso,Malo,4.5,1410.1,230.0,111.8,143.3,9.3,76.8,147,1.79,4772,0.9,1015,2.78,0.0
OLV_42_0027,Cadiz,Intensivo,Riego,48.32,Manzanilla,Cuajado,Arcilloso,Malo,10.8,927.1,40.0,117.1,377.9,15.1,81.7,134,1.49,10126,0.75,1957,2.99,0.1795
OLV_42_0028,Córdoba,Tradicional,Secano,36.21,Picual,Engorde,Arcilloso,Bueno,9.3,1795.2,212.0,147.3,247.8,17.0,52.5,39,1.27,5095,0.82,1133,3.33,0.1266
OLV_42_0029,Córdoba,Superintensivo,Riego,35.21,Cornicabra,Brotacion,Franco,Moderado,0.6,875.8,172.0,88.6,169.1,18.5,57.4,108,2.93,12000,0.83,2059,1.84,0.0
OLV_42_0030,Jaén,Tradicional,Secano,47.06,Picual,Floracion,Arcilloso,Moderado,6.1,1913.9,581.0,107.0,265.0,12.9,59.5,38,1.97,5407,0.8,1099,4.04,0.1413
OLV_42_0031,Jaén,Tradicional,Secano,48.19,Picual,Engorde,Franco,Moderado,6.8,2019.0,475.0,76.7,201.0,19.1,20.0,129,1.07,5243,0.81,1182,0.39,0.0
OLV_42_0032,Sevilla,Intensivo,Riego,31.76,Manzanilla,Engorde,Limoso,Bueno,0.2,1507.3,0.0,76.5,165.8,14.5,48.9,126,1.44,10873,0.78,1568,2.45,0.0
OLV_42_0033,Jaén,Tradicional,Secano,28.3,Arbequina,Cuajado,Arcilloso,Malo,5.1,433.6,454.0,204.7,380.0,14.6,70.6,58,1.25,4825,0.83,836,4.66,0.2588
OLV_42_0034,Sevilla,Intensivo,Secano,39.72,Hojiblanca,Brotacion,Franco-arcilloso,Bueno,2.6,1104.3,234.0,77.2,233.4,15.5,58.2,30,2.45,6564,0.79,1346,2.4,0.0
OLV_42_0035,Granada,Intensivo,Secano,17.41,Picual,Brotacion,Franco,Bueno,9.0,1296.3,653.0,194.5,333.2,13.5,33.5,145,2.0,6319,0.83,1540,2.33,0.0
OLV_42_0036,Sevilla,Superintensivo,Riego,39.34,Picual,Brotacion,Franco,Malo,0.0,1676.6,82.0,72.1,182.9,24.5,66.5,38,1.15,12000,0.78,1838,2.4,0.0
OLV_42_0037,Cadiz,Intensivo,Secano,6.66,Hojiblanca,Brotacion,Franco-arcilloso,Bueno,13.0,1741.8,9.0,18.0,28.5,19.2,19.1,62,1.84,5862,0.81,1429,0.0,0.0
OLV_42_0038,Jaén,Tradicional,Secano,18.0,Picual,Cuajado,Arcilloso,Bueno,7.1,1038.7,455.0,40.2,68.2,16.1,38.8,128,2.33,5097,0.83,1236,0.0,0.0
OLV_42_0039,Jaén,Intensivo,Secano,18.65,Picual,Floracion,Franco-arcilloso,Bueno,6.4,853.1,584.0,47.5,132.4,23.6,35.3,77,1.46,6870,0.83,1501,0.47,0.0
OLV_42_0040,Sevilla,Intensivo,Secano,19.64,Manzanilla,Engorde,Arenoso,Malo,9.9,1370.3,31.0,69.8,143.8,16.7,42.9,111,2.61,6481,0.77,1584,0.73,0.0
OLV_42_0041,Sevilla,Intensivo,Riego,2.24,Manzanilla,Engorde,Arcilloso,Bueno,6.9,1778.6,144.0,91.3,219.9,12.5,54.6,78,2.89,9114,0.79,1649,2.97,0.0
OLV_42_0042,Córdoba,Superintensivo,Riego,49.39,Picual,Brotacion,Franco-arcilloso,Moderado,3.9,2204.3,210.0,170.2,380.0,10.8,66.4,102,2.1,12000,0.81,1970,4.87,0.1051
OLV_42_0043,Málaga,Intensivo,Riego,15.84,Hojiblanca,Cuajado,Limoso,Moderado,6.7,2380.7,285.0,103.4,246.1,18.5,50.1,55,1.16,10790,0.83,1711,3.41,0.1114
OLV_42_0044,Córdoba,Tradicional,Secano,14.75,Arbequina,Cuajado,Limoso,Moderado,2.5,2381.5,259.0,52.3,184.2,14.1,36.4,95,2.07,4691,0.87,1175,1.42,0.0
OLV_42_0045,Jaén,Tradicional,Secano,7.17,Picual,Brotacion,Franco-arcilloso,Malo,3.7,1724.3,468.0,137.4,175.9,22.0,82.0,98,2.06,5252,0.82,1070,3.31,0.0
OLV_42_0046,Jaén,Intensivo,Secano,11.94,Picual,Engorde,Arenoso,Malo,11.4,824.5,443.0,37.1,125.3,15.3,30.6,108,2.63,6133,0.84,1669,0.07,0.0
OLV_42_0047,Sevilla,Tradicional,Secano,40.37,Cornicabra,Brotacion,Limoso,Moderado,0.7,328.9,129.0,187.2,380.0,17.1,82.0,114,2.61,5793,0.81,1110,5.27,0.0588
OLV_42_0048,Jaén,Tradicional,Riego,30.62,Cornicabra,Floracion,Franco-arcilloso,Moderado,6.9,199.9,532.0,88.1,214.4,17.6,57.9,43,2.57,8584,0.82,1503,1.58,0.0
OLV_42_0049,Córdoba,Tradicional,Secano,37.92,Picual,Brotacion,Limoso,Malo,2.8,1496.9,193.0,23.9,54.8,15.1,43.4,102,2.02,5260,0.73,1093,0.0,0.0
OLV_42_0050,Córdoba,Tradicional,Riego,8.92,Arbequina,Floracion,Franco-arcilloso,Malo,19.1,1738.7,212.0,95.8,323.2,15.5,60.8,133,1.54,8912,0.89,1707,1.69,0.0
OLV_42_0051,Córdoba,Tradicional,Secano,24.13,Picual,Floracion,Franco,Moderado,3.7,1216.8,314.0,75.8,206.4,16.5,40.1,142,1.27,5683,0.88,1141,2.24,0.0
OLV_42_0052,Granada,Intensivo,Secano,43.21,Picual,Reposo,Limoso,Moderado,6.7,2292.2,658.0,47.0,138.1,11.5,40.7,35,1.53,6326,0.9,1805,0.66,0.0
OLV_42_0053,Córdoba,Intensivo,Secano,13.2,Cornicabra,Cuajado,Franco,Moderado,1.4,2304.8,252.0,320.0,380.0,17.0,73.0,142,0.98,7088,0.0,1314,3.38,0.2325
OLV_42_0054,Granada,Tradicional,Secano,47.84,Picual,Brotacion,Arenoso,Bueno,22.0,147.9,629.0,77.4,244.8,18.8,40.3,136,2.57,4787,0.76,1298,0.37,0.0
OLV_42_0055,Málaga,Intensivo,Secano,10.59,Picual,Floracion,Arenoso,Moderado,7.2,1552.9,324.0,101.2,375.4,18.2,35.8,69,2.43,6607,0.83,1504,1.76,0.0
OLV_42_0056,Córdoba,Tradicional,Secano,19.92,Hojiblanca,Cuajado,Franco,Malo,1.3,1608.3,457.0,38.8,92.2,11.6,45.5,129,3.0,5070,0.82,1090,0.7,0.0
OLV_42_0057,Jaén,Tradicional,Secano,43.46,Hojiblanca,Engorde,Arenoso,Moderado,4.4,2316.2,489.0,132.7,380.0,9.4,41.0,81,1.07,5284,0.85,1064,1.36,0.0191
OLV_42_0058,Granada,Tradicional,Secano,15.32,Hojiblanca,Reposo,Franco-arcilloso,Malo,8.1,1150.7,570.0,103.1,330.4,16.2,78.3,42,1.15,4955,0.8,1103,3.94,0.0
OLV_42_0059,Jaén,Tradicional,Secano,31.03,Picual,Cuajado,Arcilloso,Bueno,14.0,168.7,524.0,67.8,122.2,19.2,63.9,48,1.97,4755,0.79,1578,1.44,0.0
